iter	Passed	Remaining
0	0	91
1	1	83
2	2	80
3	2	71
4	3	69
5	4	67
6	4	66
7	5	64
8	6	64
9	7	63
10	7	62
11	8	61
12	8	60
13	9	59
14	10	58
15	10	57
16	11	56
17	12	55
18	12	55
19	13	54
20	14	53
21	14	53
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	45
32	22	45
33	22	44
34	23	43
35	24	42
36	24	42
37	25	41
38	26	40
39	26	40
40	27	39
41	27	38
42	28	37
43	29	36
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	21
68	45	20
69	45	19
70	46	19
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
