iter	Passed	Remaining
0	141	141787
1	142	71200
2	144	47875
3	145	36109
4	145	29017
5	146	24282
6	147	20974
7	148	18445
8	149	16487
9	150	14879
10	151	13577
11	151	12494
12	152	11593
13	154	10854
14	155	10185
15	155	9581
16	157	9089
17	157	8617
18	158	8194
19	159	7832
20	160	7484
21	161	7169
22	162	6887
23	163	6644
24	164	6403
25	164	6180
26	165	5971
27	166	5783
28	167	5612
29	168	5455
30	169	5297
31	170	5146
32	171	5021
33	172	4895
34	174	4798
35	175	4704
36	176	4593
37	177	4496
38	178	4397
39	179	4305
40	180	4219
41	181	4134
42	181	4048
43	182	3967
44	183	3892
45	184	3818
46	184	3746
47	185	3677
48	186	3615
49	186	3552
50	187	3496
51	188	3439
52	189	3385
53	190	3331
54	191	3285
55	191	3235
56	192	3188
57	193	3140
58	194	3106
59	195	3067
60	197	3042
61	198	3003
62	199	2968
63	200	2935
64	201	2904
65	202	2865
66	203	2828
67	203	2790
68	204	2757
69	205	2724
70	205	2693
71	207	2678
72	208	2648
73	209	2619
74	210	2591
75	210	2563
76	211	2538
77	212	2512
78	213	2485
79	213	2460
80	214	2434
81	215	2410
82	215	2383
83	216	2360
84	217	2337
85	218	2318
86	218	2297
87	219	2276
88	220	2257
89	221	2242
90	223	2230
91	224	2211
92	224	2192
93	225	2173
94	226	2155
95	227	2138
96	228	2124
97	228	2107
98	230	2093
99	230	2076
100	231	2060
101	232	2045
102	233	2029
103	234	2016
104	234	2002
105	235	1988
106	236	1974
107	237	1963
108	238	1951
109	239	1939
110	240	1928
111	241	1915
112	242	1902
113	243	1889
114	243	1877
115	244	1865
116	245	1852
117	246	1843
118	247	1831
119	248	1819
120	249	1808
121	249	1796
122	250	1788
123	251	1778
124	252	1766
125	253	1755
126	253	1744
127	254	1734
128	255	1723
129	256	1716
130	257	1706
131	258	1696
132	259	1689
133	259	1680
134	261	1672
135	262	1666
136	263	1657
137	263	1648
138	264	1639
139	265	1630
140	266	1621
141	266	1610
142	267	1604
143	268	1595
144	269	1587
145	269	1578
146	270	1570
147	271	1563
148	273	1560
149	273	1552
150	274	1544
151	275	1536
152	276	1528
153	276	1520
154	277	1513
155	278	1507
156	279	1500
157	280	1494
158	281	1489
159	282	1485
160	283	1477
161	284	1471
162	285	1464
163	286	1458
164	287	1455
165	288	1449
166	289	1443
167	290	1438
168	290	1430
169	291	1425
170	292	1419
171	293	1413
172	294	1407
173	295	1401
174	296	1395
175	296	1389
176	297	1383
177	298	1378
178	299	1373
179	300	1367
180	301	1362
181	301	1356
182	302	1351
183	303	1345
184	304	1339
185	304	1333
186	305	1327
187	306	1323
188	307	1318
189	308	1313
190	308	1308
191	309	1302
192	310	1297
193	311	1292
194	311	1287
195	312	1282
196	313	1277
197	314	1272
198	314	1267
199	315	1262
200	316	1258
201	317	1253
202	318	1248
203	318	1243
204	319	1239
205	320	1235
206	321	1230
207	322	1226
208	323	1222
209	323	1217
210	324	1213
211	325	1209
212	326	1205
213	327	1201
214	328	1198
215	328	1193
216	329	1189
217	330	1186
218	331	1181
219	332	1178
220	333	1174
221	334	1170
222	334	1166
223	335	1162
224	336	1158
225	337	1155
226	338	1151
227	339	1148
228	340	1146
229	341	1142
230	341	1138
231	342	1134
232	344	1133
233	344	1129
234	345	1125
235	346	1121
236	347	1117
237	347	1114
238	348	1110
239	349	1106
240	350	1103
241	351	1100
242	352	1097
243	353	1094
244	353	1090
245	354	1087
246	355	1083
247	356	1079
248	356	1076
249	357	1072
250	358	1069
251	359	1065
252	360	1064
253	361	1062
254	362	1059
255	363	1055
256	364	1052
257	364	1048
258	365	1045
259	366	1042
260	366	1038
261	367	1035
262	368	1032
263	369	1030
264	370	1027
265	371	1025
266	372	1021
267	373	1019
268	373	1015
269	374	1013
270	375	1009
271	376	1007
272	377	1005
273	378	1002
274	379	1000
275	380	997
276	380	994
277	381	991
278	382	989
279	383	987
280	384	984
281	385	981
282	386	978
283	386	974
284	387	971
285	388	969
286	388	966
287	389	963
288	390	960
289	391	957
290	391	954
291	392	952
292	393	950
293	394	947
294	395	945
295	396	942
296	397	940
297	398	937
298	399	936
299	400	933
300	400	930
301	401	928
302	402	925
303	402	922
304	403	919
305	404	917
306	405	914
307	405	911
308	406	909
309	407	906
310	408	904
311	409	902
312	410	899
313	411	898
314	412	895
315	412	893
316	413	891
317	414	888
318	414	885
319	415	883
320	416	881
321	417	878
322	418	876
323	418	873
324	419	871
325	420	868
326	421	866
327	421	863
328	422	862
329	423	860
330	424	858
331	425	856
332	426	855
333	427	853
334	428	850
335	429	848
336	430	846
337	430	843
338	431	841
339	432	839
340	433	837
341	434	835
342	434	832
343	435	830
344	436	828
345	437	826
346	437	824
347	438	821
348	439	819
349	440	817
350	440	814
351	441	812
352	442	810
353	443	808
354	444	807
355	444	804
356	445	802
357	446	800
358	447	798
359	447	796
360	448	794
361	449	792
362	450	790
363	451	788
364	452	787
365	453	785
366	454	783
367	455	781
368	456	780
369	457	778
370	458	776
371	458	774
372	459	772
373	460	770
374	461	768
375	462	766
376	462	764
377	463	763
378	464	760
379	465	758
380	465	757
381	466	754
382	467	753
383	468	751
384	469	749
385	469	747
386	470	745
387	471	743
388	472	742
389	473	740
390	474	738
391	474	736
392	475	734
393	476	732
394	477	730
395	477	728
396	478	726
397	479	725
398	479	722
399	480	721
400	481	718
401	481	716
402	482	715
403	483	713
404	484	711
405	484	709
406	485	707
407	486	705
408	486	703
409	487	701
410	488	699
411	489	697
412	489	696
413	490	694
414	491	692
415	491	690
416	492	688
417	493	686
418	494	685
419	494	683
420	495	681
421	496	679
422	496	677
423	497	676
424	498	674
425	499	672
426	499	670
427	500	669
428	501	667
429	502	665
430	503	664
431	515	677
432	516	675
433	516	673
434	517	672
435	518	670
436	518	668
437	519	666
438	520	665
439	521	663
440	521	661
441	522	659
442	523	657
443	523	656
444	524	654
445	525	652
446	525	650
447	527	649
448	527	647
449	528	646
450	529	644
451	529	642
452	530	640
453	531	639
454	532	637
455	532	635
456	533	634
457	534	632
458	535	631
459	536	629
460	536	627
461	537	625
462	538	624
463	539	622
464	539	621
465	540	619
466	541	617
467	542	616
468	542	614
469	543	612
470	544	611
471	545	609
472	546	608
473	546	606
474	547	605
475	548	603
476	548	601
477	549	600
478	550	598
479	551	597
480	551	595
481	552	593
482	553	592
483	554	590
484	555	589
485	555	587
486	556	586
487	557	584
488	558	583
489	559	582
490	560	580
491	560	579
492	561	577
493	562	575
494	563	574
495	563	572
496	564	571
497	565	569
498	565	568
499	566	566
500	567	565
501	568	563
502	568	562
503	569	560
504	570	558
505	570	557
506	571	555
507	572	554
508	573	553
509	574	551
510	575	550
511	575	548
512	576	547
513	577	545
514	578	544
515	578	542
516	579	541
517	580	540
518	581	538
519	581	537
520	582	535
521	583	534
522	584	533
523	585	531
524	586	530
525	587	529
526	587	527
527	588	526
528	589	524
529	590	523
530	590	521
531	591	520
532	592	518
533	593	517
534	594	516
535	594	515
536	595	513
537	596	512
538	597	510
539	597	509
540	598	507
541	599	506
542	600	505
543	601	503
544	601	502
545	602	500
546	603	499
547	604	498
548	605	497
549	606	496
550	607	494
551	608	493
552	608	492
553	610	491
554	610	489
555	611	488
556	612	487
557	613	485
558	613	484
559	614	482
560	615	481
561	616	480
562	616	478
563	617	477
564	618	475
565	618	474
566	619	473
567	620	472
568	621	470
569	622	469
570	623	468
571	623	466
572	624	465
573	625	464
574	625	462
575	627	461
576	627	460
577	628	458
578	629	457
579	630	456
580	631	455
581	631	453
582	632	452
583	633	450
584	633	449
585	634	448
586	635	446
587	635	445
588	636	444
589	637	442
590	637	441
591	638	440
592	639	438
593	639	437
594	640	436
595	641	434
596	641	433
597	642	432
598	643	430
599	644	429
600	645	428
601	645	426
602	646	425
603	647	424
604	647	423
605	648	421
606	649	420
607	649	419
608	650	417
609	651	416
610	651	415
611	652	413
612	653	412
613	658	413
614	658	412
615	659	411
616	660	409
617	661	408
618	661	407
619	662	406
620	663	404
621	663	403
622	664	402
623	665	401
624	666	399
625	666	398
626	667	397
627	668	395
628	668	394
629	669	393
630	670	392
631	671	390
632	672	389
633	672	388
634	673	387
635	674	386
636	675	384
637	676	383
638	676	382
639	677	381
640	678	379
641	679	378
642	679	377
643	680	376
644	681	374
645	682	373
646	682	372
647	683	371
648	684	370
649	685	369
650	686	367
651	687	366
652	687	365
653	688	364
654	689	363
655	690	361
656	690	360
657	691	359
658	692	358
659	693	357
660	694	355
661	694	354
662	695	353
663	696	352
664	696	351
665	697	349
666	698	348
667	699	347
668	700	346
669	701	345
670	702	344
671	702	343
672	703	342
673	704	340
674	705	339
675	706	338
676	706	337
677	707	336
678	708	334
679	709	333
680	710	332
681	710	331
682	711	330
683	712	329
684	713	327
685	713	326
686	714	325
687	715	324
688	716	323
689	716	322
690	717	320
691	718	319
692	718	318
693	719	317
694	720	316
695	721	314
696	721	313
697	722	312
698	723	311
699	724	310
700	725	309
701	726	308
702	727	307
703	728	306
704	728	305
